Activity,TIC_F_AB_nCi_2_SS3_n_A_SRW_e_MAS,TS[5]_P2_F_AB_nCi_2_SS12_H_n_C_LGP[3-8]_ec_MAS,TS[5]_HM_F_BB_nCi_2_MP10_H_C_LGP[1-4]_hx_MAS,AC[1]_SD_F_AB_nCi_2_MP7_H_D_LGP[3-5]_psa_MAS,TS[3]_MN_F_AB_nCi_2_NS13_H_A_LGP[3-6]_e_MAS,AC[6]_Q3_F_BB_nCi_2_SS5_H_A_LGP[2-3]_hx_MAS,GV[2]_Q1_F_AB_nCi_2_MP14_H_T_LGP[4-8]_psa_MAS,GV[3]_N2_F_BB_nCi_2_SS11_X_LGP[4-7]_hx_MAS
8.72,49.96089998,14.14504821,0.09745869,3.21E-06,0,0.379727995,7.37E-06,1.545912096
8.59,50.76230393,15.26812933,0.086448404,2.98E-06,0,0.348087893,7.15E-06,1.787959865
9.06,55.47259001,13.35218813,0.097337919,2.62E-05,0,0.477451286,7.93E-06,1.233498803
7.8,55.47259001,13.35218813,0.097337919,2.62E-05,0,0.477451286,7.93E-06,1.233498803
9.2,50.76230393,14.07255674,0.093707556,2.87E-06,0,0.348087893,8.24E-06,1.851715312
8.97,50.36860119,11.42537827,0.060742429,1.55E-06,0,0.364830498,2.85E-06,1.475961103
9.53,50.36860119,17.17072022,0.083579567,0,0,0.320015519,5.73E-06,1.55737816
9.53,50.76230393,12.23352991,0.078495725,3.60E-06,0,0.354015731,2.09E-06,1.078077329
2.46,30.78071905,5.257258319,0.208717639,0.000331,0,0.179272882,0,0.295497472
4.11,30.78071905,5.257258319,0.208717639,0.000331,0,0.179272882,0,0.295497472
4.72,18.40226335,3.03770894,0.226028776,0.000507,0,0.442971052,0.002304744,0.187782836
5.1,17.01955001,3.751099924,0.253499074,0.000358,0,0.209679184,0,0.18460005
3.27,17.01955001,3.751099924,0.253499074,0.000358,0,0.209679184,0,0.18460005
2.14,19.57639132,4.500864436,0.235439344,0.000254,0,0.177427766,0,0.238750512
4.17,19.01955001,3.957734346,0.23688088,0.000366,0,0.208214422,0,0.322900622
3.64,28.78071905,4.104545897,0.148130568,0.000433,44736.64,0.560412754,0.000297,0.65845779
6.12,27.40765385,3.725011336,0.080943754,0.000116,16827.44,0.346640503,3.51E-05,0.283063191
7.19,25.83520296,4.665157546,0.076066793,0.000105,16832,0.305830902,1.77E-05,0.217710781
6.44,25.83520296,4.665157546,0.076066793,0.000105,16832,0.305830902,1.77E-05,0.217710781
5.34,27.83520296,4.626738363,0.074817166,0.000105,16830.48,0.293572277,3.34E-05,0.338320714
7.46,26.23866588,5.688778494,0.064882053,9.50E-05,16835.04,0.255724659,2.52E-05,0.214266846
4.48,26.23866588,5.688778494,0.064882053,9.50E-05,16835.04,0.255724659,2.52E-05,0.214266846
